        Sim_Code  PCR_Mass   Lab  NShows  PCR_EMin  PCR_EMax  PCR_ThMin  PCR_ThMax  Det_S
0  Corsika-77500         1  BUAP    1000         9        11          0         25    1.0
       iClst  nShow  NPart         CCode  sCCode  NGam  NEle  NMu  ftP_ID  ltP_ID         dXm         dYm         dRm         sRm           Tmin          dT             Tm            sT          Px         Py          Pz         Ene      Theta     sTheta        Phi         dE/dS         dE/dT        dE/dTS    Thermy
1820     9.0   17.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -344.714225  358.402392  497.272733  167.577623   80836.572490    0.065503   80836.605241  4.631733e-02    0.016788   0.023341    0.192783    0.194968   8.482384   1.829924  54.273782  6.942730e-06  4.209478e+00  1.498981e-04  0.032286
1876    24.0   18.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -304.629214  218.138569  374.677719   54.611184   73722.228203    0.001319   73722.228862  9.323659e-04   -0.135278   0.128692    0.472240    0.507813  21.572758   9.914192 -43.570715  1.702709e-04  5.452344e+02  1.828185e-01  0.185142
1884    32.0   18.0    4.0  1.003000e+03     2.0   3.0   1.0  0.0     1.0     3.0 -122.370302 -156.566787  198.714996  300.780274   73727.555619    0.144857   73727.628049  6.899746e-02   -0.075880   0.044848    0.356111    0.366911  13.902080   1.200767 -30.584815  4.055666e-06  5.317825e+00  5.878078e-05  0.021588
1894    42.0   18.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     2.0     1.0   38.644660  110.624932  117.180567   62.067489   73769.609166    0.009387   73769.613859  6.637577e-03   -0.201311  -0.240484    0.984293    1.033053  17.673278  10.494849  50.067048  2.681600e-04  1.556604e+02  4.040638e-02  0.191170
1900    48.0   18.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     3.0     1.0  294.420990  115.294078  316.190518   49.958508   73774.250596    0.045509   73774.266178  2.592448e-02   -0.072300  -0.135867    0.448810    0.474483  18.927955   2.152614  61.980779  1.901084e-04  1.830320e+01  7.333447e-03  0.039709
1904    52.0   18.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -158.852290 -112.828624  194.844421    4.286189   73648.415059    0.000920   73648.415519  6.507336e-04    0.042317  -0.019112    0.980870    0.981969   2.710276   1.138722 -24.305469  5.345090e-02  1.511341e+03  8.226587e+01  0.019895
2014     6.0   22.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     2.0     1.0 -343.543619   98.821712  357.474403  347.200637   80181.152289    0.008746   80181.156662  6.184142e-03    0.057716  -0.040545    0.255338    0.264920  15.442171   5.929883 -35.088008  2.197628e-06  4.284557e+01  3.554225e-04  0.107181
2015     7.0   22.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     3.0     3.0  142.167622 -266.728815  302.251374  314.872666   80179.401081    0.025683   80179.413922  1.816040e-02    0.166076  -0.184688    1.014400    1.044369  13.758244   7.836390 -48.037305  1.053378e-05  5.751123e+01  5.800731e-04  0.140372
2111    21.0   25.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     2.0     3.0 -338.590813 -104.660652  354.397504  243.281291   53314.790012    0.030095   53314.805059  2.128036e-02    0.032253   0.071736    0.162981    0.181110  25.761600   0.723457  65.791018  3.060024e-06  8.511061e+00  1.438024e-04  0.014020
2220   130.0   25.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     2.0     1.0 -303.029056 -143.584333  335.325319   96.162281   53168.298654    0.037741   53168.317525  2.668710e-02    0.062603   0.119231    0.366537    0.390497  20.173443   9.738692  62.297813  4.222870e-05  1.463296e+01  1.582423e-03  0.180210
